"Trace 0, x; Trace 1, x","Trace 0, y","Trace 1, y",
1/17/2017,62.53,62.52790059,0.003357449
1/13/2017,62.7,62.64917341,0.081063148
1/12/2017,62.61,62.6179157,0.012642871
1/11/2017,63.19,62.68934694,0.792297927
1/10/2017,62.62,62.73009516,0.175814699
1/9/2017,62.64,63.04331689,0.643864773
1/6/2017,62.84,62.8879568,0.076315715
1/5/2017,62.3,62.86443637,0.905997384
1/4/2017,62.3,62.65162074,0.564399256
1/3/2017,62.58,62.41104277,0.269985981
12/30/2016,62.14,62.81291228,1.082897136
12/29/2016,62.9,62.53202511,0.585015724
12/28/2016,62.99,62.38206325,0.965132166
12/27/2016,63.28,62.75692454,0.826604707
12/23/2016,63.24,63.16107465,0.124802898
12/22/2016,63.55,62.7152964,1.313459643
12/21/2016,63.54,62.96408692,0.906378785
12/20/2016,63.54,63.11393422,0.67054734
12/19/2016,63.62,63.14278917,0.75009562
12/16/2016,62.3,63.20434158,1.451591613
12/15/2016,62.58,62.44152139,0.221282528
12/14/2016,62.68,62.10253987,0.921282917
12/13/2016,62.98,62.32829701,1.034777686
12/12/2016,62.17,62.55420007,0.61798306
12/9/2016,61.97,62.20175825,0.373984592
12/8/2016,61.01,62.00842132,1.636487983
12/7/2016,61.37,61.19095743,0.291742825
12/6/2016,59.95,61.25578435,2.178122345
12/5/2016,60.22,60.80510015,0.971604373
12/2/2016,59.25,60.74174431,2.517711923
12/1/2016,59.2,60.07068974,1.470759698
11/30/2016,60.26,59.83610924,0.703436384
11/29/2016,61.09,60.30050966,1.292339736
11/28/2016,60.61,61.12637186,0.851958187
11/25/2016,60.53,61.07894793,0.90690224
11/23/2016,60.4,61.14603572,1.235158474
11/22/2016,61.12,61.10970173,0.016849261
11/21/2016,60.86,61.2668405,0.668485865
11/18/2016,60.35,61.40174773,1.742746852
11/17/2016,60.64,60.65265782,0.020873717
11/16/2016,59.65,60.80355696,1.933875879
11/15/2016,58.87,60.27000681,2.378132844
11/14/2016,58.12,59.59253013,2.53360311
11/11/2016,59.02,58.840927,0.303410704
11/10/2016,58.7,58.9160516,0.368060647
11/9/2016,60.17,59.26246791,1.508280032
11/8/2016,60.47,60.13451725,0.554792052
11/7/2016,60.42,60.79339351,0.617996534
11/4/2016,58.71,60.70945293,3.405642876
11/3/2016,59.21,59.59025009,0.642205855
11/2/2016,59.43,59.31005005,0.201834
11/1/2016,59.8,59.38668639,0.691159879
10/31/2016,59.92,59.48237386,0.730350693
10/28/2016,59.87,59.41671647,0.757112953
10/27/2016,60.1,59.70290136,0.660729847
10/26/2016,60.63,59.74417772,1.461029663
10/25/2016,60.99,60.13803679,1.396889997
10/24/2016,61,60.50193096,0.816506623
10/21/2016,59.66,60.53503149,1.466697094
10/20/2016,57.25,60.22658657,5.199277845
10/19/2016,57.53,58.92122536,2.418260657
10/18/2016,57.66,58.36071797,1.215258358
10/17/2016,57.22,57.86795914,1.132399747
10/14/2016,57.42,57.65776786,0.414085447
10/13/2016,56.92,57.39348836,0.831848843
10/12/2016,57.11,57.55225012,0.774382986
10/11/2016,57.19,57.627938,0.765759744
10/10/2016,58.04,57.90427513,0.233847122
10/7/2016,57.8,57.87463165,0.129120504
10/6/2016,57.74,58.27865588,0.932898989
10/5/2016,57.64,57.9518883,0.541096988
10/4/2016,57.24,58.07585192,1.460258412
10/3/2016,57.42,57.51360701,0.163021613
9/30/2016,57.6,57.45454707,0.252522453
9/29/2016,57.4,57.44080314,0.071085611
9/28/2016,58.03,57.43207422,1.03037356
9/27/2016,57.95,57.84835836,0.175395417
9/26/2016,56.9,58.51677475,2.841431899
9/23/2016,57.43,57.80822958,0.658592339
9/22/2016,57.82,57.43690995,0.662556292
9/21/2016,57.76,57.66242971,0.168923628
9/20/2016,56.81,57.9203034,1.954415424
9/19/2016,56.93,56.89521887,0.061094563
9/16/2016,57.25,57.07229602,0.310399957
9/15/2016,57.19,57.08324907,0.186660127
9/14/2016,56.26,56.75027526,0.871445538
9/13/2016,56.53,56.14082302,0.688443269
9/12/2016,57.05,56.23473187,1.42904142
9/9/2016,56.21,57.01972319,1.440532268
9/8/2016,57.43,56.57935635,1.481183449
9/7/2016,57.66,56.77679937,1.531738868
9/6/2016,57.61,57.30657564,0.526686958
9/2/2016,57.67,57.24610651,0.735032932
9/1/2016,57.59,57.30006998,0.503438134
8/31/2016,57.46,57.82648872,0.637815392
8/30/2016,57.89,57.75515768,0.232928524
8/29/2016,58.1,57.58546028,0.885610527
8/26/2016,58.03,57.43754111,1.020952771
8/25/2016,58.17,57.5809283,1.012672677
8/24/2016,57.95,57.8269692,0.212305088
8/23/2016,57.89,57.77439916,0.199690518
8/22/2016,57.67,57.73334446,0.109839533
8/19/2016,57.62,57.69659593,0.132932895
8/18/2016,57.6,57.62940804,0.051055619
8/17/2016,57.56,57.15335291,0.706475132
8/16/2016,57.44,57.70519691,0.461693791
8/15/2016,58.12,57.37445887,1.282761757
8/12/2016,57.94,57.35512839,1.009443583
8/11/2016,58.3,57.37786083,1.581713837
8/10/2016,58.02,57.74242443,0.4784136
8/9/2016,58.2,57.51224005,1.181718124
8/8/2016,58.06,57.82627203,0.402562823
8/5/2016,57.96,57.91786851,0.072690636
8/4/2016,57.39,58.08200129,1.205787236
8/3/2016,56.97,57.53533422,0.992336712
8/2/2016,56.58,57.24711557,1.179066046
8/1/2016,56.58,56.67210248,0.162782746
7/29/2016,56.68,56.60306117,0.135742475
7/28/2016,56.21,56.38787367,0.316444877
7/27/2016,56.19,56.75303068,1.002012245
7/26/2016,56.76,56.51642433,0.429132613
7/25/2016,56.73,56.74533361,0.027029107
7/22/2016,56.57,56.77660983,0.365228614
7/21/2016,55.8,56.94453203,2.051132674
7/20/2016,55.91,56.46749323,0.997126142
7/19/2016,53.09,56.29051897,6.028478
7/18/2016,53.96,55.01737147,1.959546832
7/15/2016,53.7,54.60011415,1.676190217
7/14/2016,53.74,54.28295166,1.010330586
7/13/2016,53.51,54.07904304,1.06343308
7/12/2016,53.21,53.97662566,1.440754864
7/11/2016,52.59,53.55570427,1.83628878
7/8/2016,52.3,53.42209271,2.145492746
7/7/2016,51.38,53.31201902,3.760254993
7/6/2016,51.38,52.49908522,2.178056092
7/5/2016,51.17,51.99819721,1.618521019
7/1/2016,51.16,51.71197897,1.078926843
6/30/2016,51.17,51.58702562,0.81498069
6/29/2016,50.54,51.71304339,2.321019762
6/28/2016,49.44,51.2251197,3.610679002
6/27/2016,48.43,50.25076668,3.759584317
6/24/2016,49.83,49.18133282,1.301760347
6/23/2016,51.91,50.00388523,3.671960642
6/22/2016,50.99,51.01128767,0.041748714
6/21/2016,51.19,51.80265159,1.196818884
6/20/2016,50.07,51.04089089,1.939067077
6/17/2016,50.13,50.67528781,1.087747478
6/16/2016,50.39,50.4841685,0.186879351
6/15/2016,49.69,50.64815387,1.928262971
6/14/2016,49.83,50.1660584,0.674409783
6/13/2016,50.14,49.92387389,0.431045298
6/10/2016,51.48,49.95917912,2.95419751
6/9/2016,51.62,51.13443155,0.940659532
6/8/2016,52.04,51.65300443,0.743650211
6/7/2016,52.1,51.85994074,0.460766336
6/6/2016,52.13,51.93661286,0.370970927
6/3/2016,51.79,51.98077587,0.36836429
6/2/2016,52.48,51.9322883,1.043657969
6/1/2016,52.85,52.10048932,1.418184822
5/31/2016,53,52.01636837,1.855908729
5/27/2016,52.32,52.28508989,0.066724224
5/26/2016,51.89,51.71203249,0.342970734
5/25/2016,52.12,51.44149255,1.301817834
5/24/2016,51.59,51.1596064,0.834257807
5/23/2016,50.03,51.25370993,2.445952293
5/20/2016,50.62,50.37708805,0.479873468
5/19/2016,50.32,50.38627314,0.131703388
5/18/2016,50.81,50.52427605,0.562338018
5/17/2016,50.51,50.20623503,0.6013957
5/16/2016,51.83,50.01489278,3.502039792
5/13/2016,51.08,50.90142542,0.349597852
5/12/2016,51.51,50.97976934,1.029374228
5/11/2016,51.05,51.39065861,0.667303841
5/10/2016,51.02,50.95343212,0.130474082
5/9/2016,50.07,50.76828023,1.394608012
5/6/2016,50.39,50.5023421,0.222945233
5/5/2016,49.94,50.67563465,1.473036936
5/4/2016,49.87,50.3918002,1.04632084
5/3/2016,49.78,50.26577386,0.975841427
5/2/2016,50.61,50.19725481,0.815540778
4/29/2016,49.87,50.79834696,1.861533904
4/28/2016,49.9,50.24546464,0.692313916
4/27/2016,50.94,50.35986034,1.138868598
4/26/2016,51.44,50.90282321,1.044278357
4/25/2016,52.11,51.31280592,1.529829358
4/22/2016,51.78,51.81525052,0.068077481
4/21/2016,55.78,52.05103618,6.685126968
4/20/2016,55.59,53.59651756,3.58604505
4/19/2016,56.39,54.16276364,3.949700932
4/18/2016,56.46,54.88524046,2.789159652
4/15/2016,55.65,54.77349211,1.575036642
4/14/2016,55.36,54.71545535,1.164278631
4/13/2016,55.35,54.21488448,2.05079588
4/12/2016,54.65,54.17081744,0.876820783
4/11/2016,54.31,53.84268726,0.860454318
4/8/2016,54.42,53.16921448,2.298393095
4/7/2016,54.46,53.67014539,1.450338991
4/6/2016,55.12,53.57656602,2.800134209
4/5/2016,54.56,54.03899519,0.954920838
4/4/2016,55.43,54.29643197,2.045044246
4/1/2016,55.57,55.40424447,0.298282407
3/31/2016,55.23,55.45360972,0.404870026
3/30/2016,55.05,55.14567286,0.173792655
3/29/2016,54.71,54.90806759,0.362031792
3/28/2016,53.54,54.59547789,1.971381934
3/24/2016,54.21,54.11371843,0.177608504
3/23/2016,53.97,53.85476972,0.213508021
3/22/2016,54.07,54.18541017,0.213445848
3/21/2016,53.86,54.61135663,1.395017888
3/18/2016,53.49,54.59923619,2.073726291
3/17/2016,54.66,54.09786409,1.028422811
